Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Snow,2002 Takarazuka Paris Festival,2002宝塚巴里祭,2002 Takarazuka Parisai,Hankyu Hotel International,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Takashiro Kei,FALSE,TRUE,TRUE,FALSE,french,FALSE,FALSE,FALSE,FALSE,22,7,2002,23,7,2002
Senka. Snow,Naruse Kouki Dinner Show - SMILE,成瀬こうきディナーショー「ＳＭＩＬＥ」,Naruse Kouki Dinner Show - SMILE,Takarazuka Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Naruse Kouki,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,18,7,2002,19,7,2002
Senka. Snow,Naruse Kouki Dinner Show - SMILE,成瀬こうきディナーショー「ＳＭＩＬＥ」,Naruse Kouki Dinner Show - SMILE,Hotel Grand Palace,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Naruse Kouki,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,15,7,2002,16,7,2002
Cosmos,Legend of the Phoenix -Calaf & Turandot-,鳳凰伝 －カラフとトゥーランドット－,Hououden -Calaf to Turandot-,Takarazuka Grand Theater,Kimura Shinji,Kimura Shinji,Kai Masato,Takemura Rui. Hayama Kiyomi,Wao Youka,7,Hanafusa Mari,29,N/A,TRUE,FALSE,FALSE,FALSE,drama,TRUE,opera,FALSE,FALSE,12,7,2002,19,8,2002
Cosmos,The Showstopper,ザ・ショー・ストッパー,The Showstopper,Takarazuka Grand Theater,Miki Akio,Miki Akio,Saitou Tsuneyoshi. Kuratomi Shinichi. Yoshida Yuuko. Takahashi Kuni,Sha Tamae. Nakura Kayoko. Hayama Kiyomi,Wao Youka,7,Hanafusa Mari,29,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,12,7,2002,19,8,2002
Moon,Slapstick,SLAPSTICK,Slapstick,Nippon Seinenkan Hall,Koyanagi Naoko,Koyanagi Naoko,Kai Masato. Yoshida Yuuko,Wakao Risa. Miori Yumino,N/A,0,N/A,0,Kiriya Hiromu. Shijou Rui,FALSE,TRUE,FALSE,FALSE,drama. comedy. american. 10s.,TRUE,biography,FALSE,FALSE,4,7,2002,10,7,2002
Star,Lucky Star!,LUCKY STAR！,Lucky Star!,Tokyo Takarazuka Theater,Nakamura Kazunori,Nakamura Kazunori,Kuratomi Shinichi. Kai Masato. Nishimura Kouji,KAZUMI-BOY. Ootani Morio. Ai Erina. Ieki Hiroshi,Kouju Tatsuki,3,Nagisa Aki,3,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,28,6,2002,11,8,2002
Star,The Prague Spring,プラハの春,Puraha no Haru,Tokyo Takarazuka Theater,Tani Masazumi,Tani Masazumi,Miyahara Tooru. Yoshizaki Kenji,Yamamura Waka. Shou Sumire,Kouju Tatsuki,3,Nagisa Aki,3,N/A,TRUE,FALSE,FALSE,FALSE,drama. european. 60s.,TRUE,novel,FALSE,FALSE,28,6,2002,11,8,2002
Star,Kouju Tatsuki Dinner Show - The Silent Revolution,Kouju Tatsuki Dinner Show - Shizuka Naru Kakumei.香寿たつきディナーショー「静かなる革命」,Kouju Tatsuki Dinner Show - The Silent Revolution,Royton Sapporo,Ogita Kouichi,N/A,N/A,N/A,N/A,0,N/A,0,Kouju Tatsuki,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,23,6,2002,23,6,2002
Moon,Slapstick,SLAPSTICK,Slapstick,Bow Hall,Koyanagi Naoko,Koyanagi Naoko,Kai Masato. Yoshida Yuuko,Wakao Risa. Miori Yumino,N/A,0,N/A,0,Kiriya Hiromu. Shijou Rui,FALSE,TRUE,FALSE,FALSE,drama. comedy. american. 10s.,TRUE,biography,FALSE,FALSE,21,6,2002,30,6,2002
