Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author ,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Snow,Passage,パッサージュ,Passage,Hakataza Theater,Ogita Kouichi,Ogita Kouichi,Takahashi Kuni. Kai Masato. Saitou Tsuneyoshi,Iga Yuuko. Miori Yumino. Kawasaki Etsuko. Hirasawa Satoshi,Todoroki Yuu,12,Tsukikage Hitomi,13,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,1,8,2001,23,8,2001
Star,Minoru Kou Dinner Show - Last Movement－Score of the Rose－,稔幸ディナーショー「終楽章－薔薇の五線譜－」,Minoru Kou Dinner Show - Shuugakushou －Bara no Gosenfu－,Hotel Nikko-Fukuoka,Kusano Akira,Kusano Akira,N/A,N/A,N/A,0,N/A,0,Minoru Kou,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,25,7,2001,25,7,2001
Star,2001 Takarazuka Paris Festival,2001宝塚巴里祭,2001 Takarazuka Parisai,Hotel Hankyu International,NA,N/A,N/A,N/A,N/A,0,N/A,0,Aran Kei. Yumeki Noa. Asazumi Kei. Matobu Sei,FALSE,TRUE,TRUE,FALSE,french,FALSE,FALSE,FALSE,FALSE,23,7,2001,24,7,2001
Star,Minoru Kou Dinner Show - Last Movement－Score of the Rose－,稔幸ディナーショー「終楽章－薔薇の五線譜－」,Minoru Kou Dinner Show - Shuugakushou －Bara no Gosenfu－,Palace Hotel,Kusano Akira,Kusano Akira,N/A,N/A,N/A,0,N/A,0,Minoru Kou,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,20,7,2001,21,7,2001
Star,Minoru Kou Dinner Show - Last Movement－Score of the Rose－,稔幸ディナーショー「終楽章－薔薇の五線譜－」,Minoru Kou Dinner Show - Shuugakushou －Bara no Gosenfu－,Hotel Hankyu International,Kusano Akira,Kusano Akira,N/A,N/A,N/A,0,N/A,0,Minoru Kou,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,17,7,2001,18,7,2001
Moon,Oozora Yuuhi Dinner Show - Selfish...,大空祐飛ディナーショー「Selfish...」,Oozora Yuuhi Dinner Show - Selfish...,Shin Hankyu Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Oozora Yuuhi,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,11,7,2001,12,7,2001
Flower,Michelangelo,ミケランジェロ,Michelangelo,Takarazuka Grand Theater,Tani Masazumi,Tani Masazumi,Yoshizaki Kenji. Miyahara Tooru,Shou Sumire,Aika Mire,8,Ootori Rei,8,N/A,TRUE,FALSE,FALSE,FALSE,drama. 1500s. italian. biography,FALSE,FALSE,FALSE,FALSE,6,7,2001,13,8,2001
Flower,Viva!,ＶＩＶＡ！,Viva!,Takarazuka Grand Theater,Miki Akio,Miki Akio,Takahashi Kuni. Yoshida Yuuko. Kuratomi Shinichi,Hayama Kiyomi. Nakura Kayoko. Ai Erina. Miori Yumino. Wakao Risa,Aika Mire,8,Ootori Rei,8,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,6,7,2001,13,8,2001
Moon,Moon Troupe Encourage Concert,月組エンカレッジコンサート,Tsukigumi Encourage Concert,Bow Hall,N/A,Okada Keiji,Yoshizaki Kenji,N/A,N/A,0,N/A,0,N/A,FALSE,TRUE,TRUE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,6,7,2001,8,7,2001
Cosmos,The Rose of Versailles 2001 -Fersen and Marie Antoinette-,ベルサイユのばら2001: フェルゼンとマリー･アントワネット編,Versailles no Bara: Fersen and Marie Antoinette Hen,Tokyo Takarazuka Theater,Ueda Shinji. Tani Masazumi,Ueda Shinji,Yoshida Yuuko. Terada Takio. Irie Kaoru. Kawasaki Tsuneo. Hirao Masaaki,Hayama Kiyomi. Shou Sumire. Wakao Risa. Oka Masami. Kita Hiroshi. Kurotaki Tsukio,Wao Youka,4,Hanafusa Mari,26,N/A,FALSE,TRUE,FALSE,FALSE,drama. french. 1700s,TRUE,manga,FALSE,FALSE,29,06,2001,12,8,2001
